ra,dec,pmra,pmdec,parallax,radial_velocity
133.33717371743194,-53.107342504509084,-26.372587578848382,21.92251032950523,6.623934397818553,
135.33888171933455,-54.28560631501716,-16.0722443832405,13.791683983991494,7.8285704436458685,20.959026
138.1454228586048,-51.75727477521582,-26.032550527481447,15.852038400169484,6.499345367448398,19.824354
138.1643165436687,-51.72576199628008,-31.602752802231343,24.052573888785904,6.035628339912252,27.462416
136.8782040898041,-53.15428182515243,-17.645800309332465,13.300326520740395,8.08640720807576,
137.73446669438056,-50.77196551647855,-24.07756602909386,15.013122395260861,5.996184746197749,
134.62888150488993,-50.676570279470425,-24.57646760017755,17.656746329491128,7.243147561361555,3.6605477
134.63235464140416,-50.676604077905054,-24.065136551682084,17.12948964542573,7.232513474265778,
131.71156681515046,-50.15708979750525,-22.51804137529291,24.0378894009299,6.180308478197061,22.378584
131.45227488670102,-50.071038711209745,-17.575281314625983,31.413609425275062,5.836681860628045,
131.44784915945738,-50.90172230184438,-18.03674971007771,16.066337649908398,6.343381797349905,19.614597
131.29779025555894,-50.1395283438306,-28.96566557889642,21.9196735727077,6.233775143591083,
131.26851626783932,-50.40949747369342,-31.512702704510353,23.675576423926504,5.746439971309492,21.722742
133.20216453888267,-50.267470294002,-20.843733383055618,26.281664883956637,8.231949176705607,
133.00827075082586,-50.205195028018146,-15.9416580527773,21.163627229912226,5.691588425738809,
133.00813430206787,-50.20539378931567,-16.106968676793134,20.291371325617895,5.7843780051676825,
136.2803372978139,-52.250603893215995,-25.305176906178787,19.542130272309656,5.936124933074472,
141.48327553583346,-60.99549036630017,-17.071368897910205,13.657876782397901,7.088162456173666,10.284205
142.1818974415931,-60.546986655732134,-18.73377565456948,14.351850766956854,7.6188720559232745,
130.63639262462536,-49.80410483804302,-25.892491343779135,13.787595587870538,7.091983946115785,
133.55310757966396,-50.581265688939965,-13.351584326772773,27.927572983441916,7.113117375466354,
131.8010613592522,-50.85871288654455,-25.848362789419024,22.3422328537824,6.775291896682991,
133.13711473688463,-52.78964390092668,-25.953891812478425,21.920714281781574,6.557085811905654,-14.013277
133.04758902781828,-51.96013944045856,-25.71731330697754,22.885895339013903,6.430466697483037,
133.3265961479638,-52.2664860326147,-14.643583531992427,21.346917670048207,8.261638268489378,
133.62231261928122,-52.10434606461349,-26.221974671354594,22.33668425356627,6.768157097599975,
135.23389614482838,-52.12720067058309,-30.66437209021697,19.68449150746915,6.759327073001015,
133.50541659659115,-52.42351939564048,-18.960610895197703,26.97716232816669,5.680880586039837,
133.59376264824687,-52.28690992178656,-27.54994861499067,21.803445068679025,7.49987489577534,
134.88372574519545,-51.11408065714814,-22.247290664926894,26.21131157605998,6.2193719188724,55.59506
130.6325101541045,-49.52209666563455,-26.404524943315916,23.742074111101687,7.112127542284126,
134.06628745914927,-52.08672243011624,-29.994691665688283,18.48916808585799,6.285005113974844,
132.7893398346731,-52.30863613820627,-24.42288379374063,21.98903728512147,6.34361849598718,
134.23929308271588,-51.821534794444304,-20.047444130681505,18.455705833264325,5.947406216339328,25.568703
135.24498886965225,-52.102344407979196,-30.489660815704525,19.48652292193633,6.675995393892195,
135.26707888255962,-51.22335459367188,-30.257461503236662,24.833148317233807,7.130330603354016,
129.97028454089065,-49.96227650342776,-24.569964600565143,21.987560379135832,6.595834136866598,10.981395
132.1482290107832,-51.89086562623799,-25.702040460608842,22.098324865069674,6.748674046998563,
142.69061910140877,-59.91126914576444,-14.408334328477673,20.71464466749791,5.879351343229979,17.376266
134.2998687104469,-49.59782882685115,-21.13584944328308,32.24637331375895,6.087954142731718,14.874863
145.09501473835314,-58.1442625920449,-23.68056926394724,13.783725030274798,6.630577866266699,16.072649
143.4823213866943,-59.50648385224276,-19.9353865818558,13.287570874182219,7.369200757518436,-9.803594
132.5095410132264,-52.35654608381853,-25.263664373056915,21.79076630346619,6.648995664150381,
131.944453419716,-51.79423747037397,-26.300883854018295,22.95568864194405,6.76364974503756,
131.80359811341793,-51.841571766492265,-25.646114677982908,23.041760838845533,6.740518124659673,
131.91859843676033,-51.896998855281886,-15.133504603331875,14.244485083513187,8.071743545225763,
135.90312769977723,-53.3904098888059,-26.476853329458567,20.42288494987403,6.365261257479529,16.678787
141.89803764657483,-60.67001447405868,-23.60295696861472,12.910667637879117,8.244314055744839,
145.93157245317295,-50.380232267254435,-22.08655808552824,28.502856009416817,6.051263928535751,19.118013
143.30821093165372,-52.32304889770241,-23.9582131389574,18.466738763652934,5.581409845974736,
143.6201597168773,-51.84575734075515,-15.528316046475961,18.478593625485612,6.445060856414518,6.460722
143.95549754809716,-51.848039383141014,-19.266987257652243,24.96459874361903,5.64189406693296,
142.7666408592972,-50.9668945768161,-25.811673226628198,15.234167051205318,7.2181362851361905,
142.4052262225197,-50.60366165703963,-19.963161160057638,14.64366022637072,6.741076519385014,20.85564
143.95447031544938,-52.51408132747056,-26.190973839044105,15.153744189469933,6.040139895864818,11.610191
145.38803925704457,-52.84378999144933,-23.166931655950524,18.62735244711061,5.600954234135792,1.8314681
145.94697193779865,-50.85248065840686,-29.231875674053455,31.363679701675892,8.310726390024648,
132.62464003988714,-50.21965659354356,-23.73490619297113,15.403127946743606,5.788577191361736,
141.87338150718006,-50.18642441875131,-21.99658666506381,20.69209621781721,7.485551115661209,
140.97019131485158,-50.30788864365805,-28.49742841252447,15.920784470344522,6.052730265355199,
146.3573202217145,-51.08917475299571,-19.052273962745332,14.87121835784091,5.6681924669413215,7.811649
144.2274089655965,-50.199214822051395,-15.269839408960413,21.28919069725098,8.306171778657362,
144.1922431135764,-58.89652678034828,-16.452514115928523,17.370425931931933,5.668589127266054,41.214535
144.4961262560324,-58.6937044464646,-24.186011883410934,16.072931302960434,7.938974858051966,17.36413
